gram	count
aps	382
aalborg	137
restaurant	58
holding	48
hobro	48
thisted	44
cafe	41
nielsen	32
nielsens	32
pizza	30
jensens	29
jensen	29
frederikshavner	28
frederikshavn	28
ejerforeningen	28
hjorring	27
hotels	27
hotel	27
skagen	27
andelsboligforeningen	26
bank	26
saeby	24
morso	22
tandlaege	22
hadsund	21
hadsunds	21
andersen	21
service	21
klinik	20
den	19
sorensen	18
sorensens	18
aars	17
hansen	17
kommunes	16
kommune	16
larsens	16
larsen	16
pedersen	16
invest	16
lokken	16
nordjyske	16
nordjysk	16
hus	16
ivs	16
danske	15
dansk	15
frisor	15
danmark	15
nord	15
stovring	14
hirtshals	14
hurup	14
psykolog	14
kirk	13
kirkes	13
kirke	13
moller	13
mollers	13
aabybro	13
jens	13
strand	13
matas	12
spar	12
bronderslev	12
mor	12
mors	12
thi	12
thy	12
ejendomsselskabet	11
grill	11
henrik	11
butik	11
byg	10
venner	10
martin	10
nibe	10
laege	10
fodterapi	10
erik	10
fysioterapi	10
christensen	10
kaffe	10
udlejer	9
guld	9
preben	9
himmerlands	9
himmerland	9
friis	9
wind	9
salon	9
udlejning	9
rengoring	9
jutlander	9
jutland	9
lonstrup	9
skole	9
skoles	9
bornehaven	9
kristensens	9
kristensen	9
gjol	9
peter	9
ved	9
morten	9
louise	9
lars	9
ole	8
solv	8
menighedsrad	8
fashion	8
kro	8
afdeling	8
poul	8
soren	8
apotek	8
jorgen	8
auto	8
gitte	8
nykobing	8
clubs	8
club	8
housing	8
house	8
bar	8
det	8
ure	7
biersted	7
partners	7
partnere	7
partner	7
vejgaard	7
kors	7
group	7
brdr	7
hans	7
lene	7
norresundby	7
nordjylland	7
camping	7
design	7
johns	7
john	7
jakobsen	7
anders	7
byens	7
mariagerfjord	7
vendsyssel	7
global	7
universitet	7
helle	7
erhverv	7
ejendomme	7
center	7
sandwich	7
fakta	6
speciallaegeselskabet	6
idraetsforening	6
idraetsforenings	6
bach	6
entreprenorer	6
entreprenor	6
fonden	6
sportigan	6
kebab	6
tage	6
tages	6
kristian	6
radgivning	6
radgivnings	6
jan	6
oster	6
bolig	6
niels	6
frisoren	6
imerco	6
vandvaerk	6
thomsen	6
dam	6
svenstrup	6
optik	6
systems	6
limfjordens	6
limfjorden	6
madsen	6
forlaget	6
bente	6
bent	6
stores	6
store	6
rode	6
kirsten	6
advokat	6
advokater	6
grundejerforeningen	6
sondergaard	6
photocare	6
budolfi	6
burgers	6
burger	6
shoes	6
hjallerup	5
landmaend	5
deres	5
klip	5
arkitekter	5
tandlaegerne	5
klub	5
vognmand	5
automobiler	5
hornum	5
boligforening	5
sushi	5
pizzeria	5
storcenter	5
huset	5
psykologklinikken	5
skalborg	5
revision	5
mio	5
international	5
bryghus	5
pizzaria	5
bella	5
borsen	5
kjeldsen	5
biler	5
fitness	5
skoringen	5
lokalhistoriske	5
lokalhistorisk	5
pub	5
city	5
hasseris	5
hanstholm	5
bundgaard	5
theforretningen	5
kronen	5
kfum	5
rema	5
ejendommen	5
data	5
olesen	5
vesthimmerland	5
vesthimmerlands	5
spiret	5
laegerne	5
christian	5
revisionsfirmaet	5
vester	5
sol	5
power	5
kroen	5
rasmussen	5
ukendt	5
bruger	5
foreningen	5
bogo	5
advokatfirmaet	5
nadia	5
nadias	5
calum	5
holst	5
galleri	5
art	5
finans	5
jacob	5
jacobs	5
nordkraft	5
sociale	5
social	5
salg	5
hos	5
afd	4
transport	4
gade	4
vesterbro	4
pandekagehuset	4
kunst	4
danbolig	4
farso	4
boligselskab	4
skjold	4
burne	4
production	4
product	4
products	4
scandinavian	4
logstor	4
hals	4
pigen	4
trompeten	4
ruth	4
ruths	4
kop	4
kande	4
kim	4
din	4
taxavognmand	4
landmand	4
mads	4
mad	4
jespersen	4
bilhuset	4
radio	4
konkurs	4
laurits	4
gymnasiums	4
gymnasium	4
elin	4
home	4
juul	4
ove	4
vangsgaard	4
express	4
dore	4
doring	4
lund	4
lunde	4
forening	4
byplanvejens	4
elso	4
tattoo	4
world	4
andelsboligforening	4
urban	4
foods	4
food	4
fond	4
sogne	4
sogns	4
vestergaard	4
arkiv	4
marked	4
mark	4
boulevard	4
bak	4
poulsen	4
gruppen	4
phonix	4
superbrugsen	4
bech	4
selvejende	4
profil	4
heidis	4
heidi	4
antenneforening	4
tvangsoplosning	4
egon	4
bisgaard	4
tankstation	4
dagli	4
dags	4
sindal	4
forsamlingshus	4
begravelsesforretning	4
crazy	4
daisy	4
behandlingscenter	4
nordenfjord	4
klochs	4
spisested	4
sahva	4
camillaf	4
eftf	4
unokaffebar	4
solutions	4
edc	4
osterbro	4
ltd	4
grundejerforening	4
steen	4
marketing	4
park	4
parking	4
compute	4
computer	4
bonta	4
aeldre	4
projektering	4
projekt	4
torvets	4
torvet	4
ostergaard	4
ane	4
damso	4
empire	4
wellness	4
intersport	4
consult	4
lingeri	4
brix	4
azzurra	4
jysk	4
jyske	4
britta	4
expert	4
media	4
yde	4
jacobsen	4
sogaards	4
marie	4
synoptik	4
tom	4
toms	4
laursen	4
michael	4
brondum	4
johansen	4
sct	4
form	4
lundtoft	4
antikvariat	3
autolakering	3
stotteforeningen	3
borgerservice	3
sprogcenter	3
smykker	3
brugsforening	3
hobrovej	3
uden	3
rammer	3
kristjansen	3
kiropraktisk	3
chiropractic	3
clinic	3
tversted	3
vinhandel	3
dorthe	3
buus	3
meat	3
faergegrillen	3
papir	3
drive	3
restaurationsselskabet	3
forsikring	3
dissing	3
helsam	3
nytorv	3
rideklub	3
vcharlotte	3
binderup	3
oluf	3
knud	3
vjan	3
jin	3
shing	3
son	3
runebo	3
slagtehus	3
vestergade	3
activ	3
charlotte	3
havn	3
selskabet	3
jorgensen	3
italia	3
henriksen	3
bang	3
telia	3
hunkemoller	3
stride	3
daek	3
autoservice	3
irma	3
pernille	3
ostergade	3
ostergades	3
dentists	3
dentist	3
vaerktojs	3
vaerktoj	3
anja	3
fort	3
indian	3
konfektion	3
sole	3
lisbeth	3
antik	3
bradstedlund	3
munch	3
fjernvarme	3
amba	3
dus	3
torv	3
alle	3
sparekassen	3
karl	3
haldrup	3
gammel	3
church	3
syd	3
musik	3
aarhus	3
bofaellesskabet	3
bio	3
bornehave	3
lodsgade	3
bageri	3
alarm	3
antenne	3
bjarne	3
industri	3
pilgaard	3
foldens	3
solo	3
marielyst	3
strandpark	3
inspiration	3
nordea	3
gra	3
gardejer	3
jette	3
danish	3
vra	3
cafeministeriet	3
hadsundvej	3
bymidte	3
energy	3
energi	3
simonsen	3
shell	3
handels	3
handel	3
hytten	3
tagdaekning	3
lena	3
vodskov	3
omegn	3
omegns	3
brugsen	3
kreta	3
sven	3
svens	3
finn	3
birthe	3
birthes	3
nordcad	3
susanne	3
legeland	3
geysir	3
heste	3
slagteren	3
vjens	3
riverside	3
tourist	3
asx	3
helnan	3
molhoj	3
ela	3
privat	3
private	3
edutasia	3
snedsted	3
rask	3
andreas	3
pakhuset	3
fiskeriforening	3
super	3
postbutik	3
centrum	3
marcus	3
nordvest	3
kunsthandvaerk	3
arnold	3
busck	3
mobile	3
mobil	3
gmbh	3
verik	3
fisker	3
inger	3
trin	3
boulevarden	3
telenor	3
love	3
museum	3
thai	3
thais	3
sostrene	3
grene	3
marianne	3
ak83	3
architects	3
hereford	3
beefstouw	3
blomster	3
godt	3
smil	3
cykler	3
per	3
kjaer	3
company	3
companys	3
thiele	3
red	3
genbrugsbutik	3
goddag	3
harbo	3
hong	3
prodamp	3
fysioterapeuterne	3
mammas	3
ejerlavet	3
psychologist	3
leasing	3
mette	3
myginddata	3
polsevogn	3
dragon	3
dragons	3
otto	3
ottos	3
sport	3
flemming	3
klubben	3
kids	3
tojeksperten	3
gamle	3
carre	3
maria	3
marias	3
eliksirshope	3
photography	3
bruno	3
lange	3
cut	3
bones	3
fysioterapeuter	3
fysioterapeut	3
price	3
arkaden	3
arkadens	3
studio	3
anne	3
gronkjaer	3
tandteknik	3
tandtekniker	3
vcarina	3
locanda	3
forenede	3
academy	3
kaufmann	3
cafeen	3
havanna	3
alborg	3
nybolig	3
stof	3
nguyen	3
institution	3
dronninglund	3
tango	3
fredso	3
speciallaege	3
labtech	3
ingelise	3
ars	3
karma	3
denmark	3
air	3
froslev	3
elforretning	3
aldi	3
lille	3
catharinae	3
til	3
brandt	3
scanning	2
scan	2
akupunktur	2
coach	2
coaching	2
dance	2
gottrup	2
fiber	2
pascal	2
bonvin	2
herluf	2
haubro	2
kontor	2
ejnar	2
kastaniegardens	2
internet	2
posthuset	2
torben	2
frolich	2
a2b	2
vigso	2
feriecenter	2
kulturhus	2
understottelsesforeningen	2
jydske	2
efterladte	2
biltema	2
modrehjaelpen	2
point	2
fregatten	2
aas	2
maadanske	2
ark	2
tiff	2
bla	2
genbrug	2
mobler	2
oslos	2
pharma	2
ferslev	2
komplementarselskabet	2
malou	2
skeel	2
boger	2
montana	2
staldesign	2
car	2
skalform	2
golf	2
jobcenter	2
nordsoen	2
oceanarium	2
wiborg	2
fjord	2
line	2
skiold	2
pandekagehjornet	2
painter	2
master	2
masters	2
rytter	2
krogh	2
lilleheden	2
boldklub	2
fodbold	2
elservice	2
ungdommens	2
hesthaven	2
hjelm	2
fest	2
metal	2
peugeot	2
blabjerg	2
schou	2
physiotherapy	2
harklipsen	2
kec	2
storvorde	2
plejecenter	2
familielaegerne	2
landbrug	2
gaerumvejens	2
musikskolen	2
undervognstunellen	2
mogelmose	2
radgivende	2
ingeniorer	2
ingenior	2
bilglas	2
ice	2
cream	2
orkideen	2
khs	2
huse	2
blokhus	2
pil	2
vinther	2
undervognscenter	2
indre	2
mission	2
koreskole	2
kloak	2
trading	2
ftz	2
autodele	2
management	2
rosengarden	2
ejendomsmaeglerfirmaet	2
hanne	2
registreret	2
buddy	2
